address,votingPower,tokensOwned,blockNumber,previousBalance,newBalance,difference,delegator,fromDelegate,toDelegate,transferFrom,transferTo
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15996747,15000232901512437159848911,15000231901512437159848701,-1000000000000000210,0xb353D1ef1668c77772Ac26058D7f7ab58ddD39Df,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xb353D1ef1668c77772Ac26058D7f7ab58ddD39Df,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16002478,15000231901512437159848701,15000233901512437159848701,2000000000000000000,0xDd5D3AC28853613300438Ec9f3aF370B202a449A,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16020336,15000233901512437159848701,15000234101512437159848701,200000000000000000,0x8ad557E25766C99e28E6Fe8e3e0FBf87e452B23D,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16031703,15000234101512437159848701,15000232101512437159848701,-2000000000000000000,0xDd5D3AC28853613300438Ec9f3aF370B202a449A,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xDd5D3AC28853613300438Ec9f3aF370B202a449A,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16044430,15000232101512437159848701,15000232051512437159848701,-50000000000000000,0x437f40EFdddFd6c63c90504d3Df97F9c8326d25A,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x26E11DbA9a41ED50492b25241a45E4Fcc3687f8C,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16045005,15000232051512437159848701,15000230951512437159848701,-1100000000000000000,0x5d3def61252919833790910dD0aC76db797a2829,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x5d3def61252919833790910dD0aC76db797a2829,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16047353,15000230951512437159848701,15000230751512437159848701,-200000000000000000,0xd2E18B1137Bf8cc100e8E6019AB7e9d58f773c15,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xd2E18B1137Bf8cc100e8E6019AB7e9d58f773c15,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16053724,15000230751512437159848701,15000229651512437159848701,-1100000000000000000,0x7D480C6A1D48eEf2e17DF28A3532216F1ED4c957,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x7D480C6A1D48eEf2e17DF28A3532216F1ED4c957,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16060293,15000229651512437159848701,15000231455925564943219036,1804413127783370335,,,,0xD0fC8bA7E267f2bc56044A7715A489d851dC6D78,0x6665ff08Df4E8dB4090A4a3137665a63aaA0dd13
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16060392,15000231455925564943219036,15000231465925564943219036,10000000000000000,0x41fD941BB20990B5BEc8CB424f19397254707981,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16067431,15000231465925564943219036,15000303848657271528045644,72382731706584826608,0x7d125888AF23BD787FB69c71d113bB233842b140,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16073562,15000303848657271528045644,15000303888657271528045644,40000000000000000,0x604b4DACb4C89Ad08f5fb592d6b559B8DA28bC72,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16074241,15000303888657271528045644,15000303436431369589119939,-452225901938925705,0xB5e1946dAE21DC786d1f5cbD734A94D7874d5850,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xB5e1946dAE21DC786d1f5cbD734A94D7874d5850,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16075163,15000303436431369589119939,15000304436431369589119939,1000000000000000000,0x9A2b09c6B6f3fE2536Af06550E739E002749fb5E,0x9A2b09c6B6f3fE2536Af06550E739E002749fb5E,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16075973,15000304436431369589119939,15000304236431369589119939,-200000000000000000,0x8ad557E25766C99e28E6Fe8e3e0FBf87e452B23D,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x8ad557E25766C99e28E6Fe8e3e0FBf87e452B23D,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16076650,15000304236431369589119939,15000304226431369589119939,-10000000000000000,0x41fD941BB20990B5BEc8CB424f19397254707981,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x41fD941BB20990B5BEc8CB424f19397254707981,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16076981,15000304226431369589119939,15000299963638687840662434,-4262792681748457505,0x9e6f8c7B8FCEFE84888C756eC0c09B876f8779B7,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x9e6f8c7B8FCEFE84888C756eC0c09B876f8779B7,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,16077518,15000299963638687840662434,15000298159225560057292099,-1804413127783370335,0x6665ff08Df4E8dB4090A4a3137665a63aaA0dd13,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x6665ff08Df4E8dB4090A4a3137665a63aaA0dd13,,
