address,delegator,date,voting_power
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x9A7a...d88E,2023-04-10,5.98
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,menoid.eth,2023-02-20,3.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,hitsumabushi.eth,2022-12-03,2.99
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,cropworld.eth,2023-04-11,1.5
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x1295...f13E,2022-12-02,1.21
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x80ba...B902,2023-04-01,1.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,gansuicpu.eth,2023-04-11,0.1
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x0398...97E7,2022-07-06,0.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0xcf0d...f4bF,2022-07-18,0.0
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,0xE804...BE9e,2021-02-05,2500000.0
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,0x5de9...0c0C,2021-04-02,2000000.0
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,0xdC75...883d,2023-04-04,9.51
0x47C125DEe6898b6CB2379bCBaFC823Ff3f614770,0xE8A4...6804,2021-01-22,0.0
0xbbf3f1421d886e9b2c5d716b5192ac998af2012c,0x35A1...D550,2020-11-14,4133959.57
0xbbf3f1421d886e9b2c5d716b5192ac998af2012c,machilittlebrother.e…,2023-04-04,11.04
0xbbf3f1421d886e9b2c5d716b5192ac998af2012c,option7.eth,2023-01-30,0.0
0xbbf3f1421d886e9b2c5d716b5192ac998af2012c,blizzardblue.eth,2021-12-14,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x177D...Eb09,2020-12-18,9000000.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,ebizoichikawa.eth,2022-10-12,16.21
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0xAa86...D31f,2021-03-08,11.61
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x097e...530B,2021-05-04,3.79
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,chrisli.eth,2021-02-20,1.21
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,chrisli.eth,2021-02-20,1.21
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,pandoshi.eth,2022-10-04,1.09
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,duscp3w4ei.eth,2021-03-09,1.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,reserg86.eth,2023-04-01,1.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,nayahanmnm.eth,2023-04-01,0.49
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,imyourdaddy.eth,2021-02-20,0.26
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,Studiomrecords,2020-12-28,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x7BD1...4b26,2020-12-21,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0x99ee...Abc4,2021-01-23,0.0
0x76f54eeb0d33a2a2c5ccb72fe12542a56f35d67c,0xFaF6...f4fa,2021-02-27,0.0
0x8e4ed221fa034245f14205f781e0b13c5bd6a42e,0x030d...D437,2020-10-15,9000000.0
0x8e4ed221fa034245f14205f781e0b13c5bd6a42e,0xbc01...07F2,2021-03-09,2.0
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,0x1c1f...1108,2021-05-19,8000000.0
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,thisisjustart.eth,2023-03-23,120.45
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,chicag0x.eth,2022-11-13,24.01
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,0xF85B...67D4,2023-04-12,3.2
0xe7925D190aea9279400cD9a005E33CEB9389Cc2b,0x8dcb...e4a4,2022-10-05,0.71
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x8970...eC2b,2021-03-05,5000000.0
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x5624...732d,2021-04-02,2900000.05
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x554b...40cb,2023-03-16,16.91
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x5564...8ebC,2022-11-11,2.0
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,alvin617.eth,2022-10-27,1.49
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x86e1...be50,2023-04-10,0.16
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,tienle.eth,2021-04-26,0.1
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x4855...E794,2021-04-24,0.0
0xa2bf1b0a7e079767b4701b5a1d9d5700eb42d1d1,0x1C52...D169,2020-12-17,0.0
0x683a4f9915d6216f73d6df50151725036bd26c02,0x7f25...De24,2021-10-28,5000000.0
0x683a4f9915d6216f73d6df50151725036bd26c02,0xb93B...b6Fb,2022-09-14,2500001.0
0x683a4f9915d6216f73d6df50151725036bd26c02,0x5772...4314,2022-09-14,861.27
0x683a4f9915d6216f73d6df50151725036bd26c02,ciples.eth,2023-02-25,31.37
0x683a4f9915d6216f73d6df50151725036bd26c02,nyphotograph.eth,2023-04-12,1.51
0x683a4f9915d6216f73d6df50151725036bd26c02,0xyueguang.eth,2023-04-01,1.24
0x683a4f9915d6216f73d6df50151725036bd26c02,1nine1.eth,2023-02-25,0.22
0x683a4f9915d6216f73d6df50151725036bd26c02,0xFb33...E407,2022-12-20,0.0
0xe02457a1459b6c49469bf658d4fe345c636326bf,0x5F24...86b0,2021-03-05,7300000.0
0xe02457a1459b6c49469bf658d4fe345c636326bf,donaldduckland2.eth,2023-04-08,1.6
0xe02457a1459b6c49469bf658d4fe345c636326bf,0xC1b3...656f,2022-12-20,0.0
0xe02457a1459b6c49469bf658d4fe345c636326bf,lylycute.eth,2021-04-26,0.0
0x8962285faac45a7cbc75380c484523bb7c32d429,0x9c98...75d7,2021-06-11,7032461.0
0x8962285faac45a7cbc75380c484523bb7c32d429,0x8081...3fD8,2022-08-20,400.0
0x8962285faac45a7cbc75380c484523bb7c32d429,0x1C8d...2b49,2023-04-03,139.38
